ImgName,GroundTruth
1_1,Union
2_2,FOOTBALL
3_3,CREATE CALSS STUDIO Glass With Class
4_4,"Except authorised vehicles p science drive 3 service s7, S8, s11-s13 car park 6"
5_5,BEVERL HILLS
6_6,Lincoln Tunnel
7_7,COLLEEN HOOVER
00_08,MARBLE YARD ORION TILE 900
05_02,White Castle
01_05,Enterprise Boo rent
00_05,ANAREIM BUBLIE LIBRARY MUZEO 
00_03,THE JUKE JOINT BAR& CEILL 735
09_04,SteakShalce
05_04,World Market Michaels
05_10,GRANDSTAN
05_15,DE PASADA 1517 W TAYLOR 312-243-6441
05_19,THREE HAPPINESS
06_06,Cityplace Center East
07_02,WINBRO 1620 GRANT ST
07_03,1490 Logan the OLIN
03_01,Larrys Boot Fitting 2709 Sprove Street
03_06,POLISH
03_08,tumberline
04_07,T  Mobile
06_16,LA MICHOACANA MEAT MARKET TAQUERIA
06_14,THE LABYRINTH
06_05,MAIS Restaurant Authentic Vietnamese Cuisine
08_00,MASSAS SEAFOOD SELL
08_01,HOUSTON POLICE DEPARTMENT
08_05,TWO SHELL PLAZA
08_18,Zula
09_08,WASHINGTON IRYING SCHOOL 14
10_05,FOSSIL
11_16,Little SAIGON
11_18,cityartsfactory OPEN
12_05,JONES
12_10,BIERES PRESSION PARC
12_11,BELLA VISTA INC
12_15,Ortliebs
13_09,Yasda Bento
13_11,MAGIC AUTO
13_18,PORTLANDS restaurant bar
13_17,US AIRWAYS CENTER
14_00,PGE PARK
14_06,Convention Center
14_09,"Cinema 21 STEVE BUSCEMIS INTERVIEW NEXT ""NO END IN SIGHT"""
14_13,Mission Therater & Pub
14_18,Marrlatt
15_03,SAN DIEGO HARBOR EXCURSION www.sdhe.com (619) 234 4111
15_16,SAN DIEGO CONVENTION CENTER
15_15,GHIRARDELLI ICECREAM AND CHOCOLATE
16_00,GRAND HYATT
16_09,YANK SING
16_13,TARA RESTAURANT
16_17,PINECREST The Food Makers Since 1969 RESTAURANT Open 24hrs
17_07,ERNST YOUNG
17_15,GOODWILL GOODSOURCE DIVISIONS
17_19,ANNO DOMINI SANER MAR6 THRU APR18
18_05,QUINNS Lunch & Dinner
18_19,NEUMOS
19_00,Restaurant Cafe Soleil Bar
